train_loss,val_loss,num_loss,cat_loss,kl_loss,beta_values,epoch
13.972492958280302,10.991006261064067,7.123300851957349,6.849192101849547,0.0,0.0,1
10.817038413891867,9.764289950928747,4.7418042319640845,5.988879324470824,0.0863548631347425,0.01020408163265306,2
10.197452746211221,9.50529770401224,4.085812947463138,5.963877301527651,0.1477624971881716,0.02040816326530612,3
9.991621871489546,9.293066744294254,3.8453139076777463,5.955788212877631,0.19051972422277083,0.030612244897959183,4
9.83287343550252,9.247072558787547,3.6627824065558543,5.932719969860748,0.23737109852931854,0.04081632653061224,5
9.73606718157253,9.193838456381147,3.572016780416168,5.89100984852479,0.2730405324367231,0.0510204081632653,6
9.710576346764542,9.164798539058625,3.5313098022166383,5.877194808692589,0.3020717265213804,0.061224489795918366,7
9.685471191846709,9.230295752825214,3.4833344801770783,5.8677531739327335,0.33438353554320654,0.07142857142857142,8
9.675479906207451,9.243565845162607,3.4531527461308364,5.86098287644466,0.3613443010094185,0.08163265306122448,9
9.687343732216489,9.160927211122136,3.438920343680055,5.854369281004621,0.394054144781524,0.09183673469387754,10
9.718054103143746,9.304112136568293,3.445470610138711,5.853151704446551,0.41943176894431705,0.1020408163265306,11
9.71854942209426,9.236847061468293,3.4259733628444913,5.846384669792248,0.44619140631882165,0.11224489795918366,12
9.706221707975946,9.317891937977095,3.387070846652247,5.845862815971694,0.47328803722244894,0.12244897959183673,13
9.71154519573556,9.425964652771514,3.3669998495503974,5.842869076174914,0.5016762649776665,0.13265306122448978,14
9.731361615067177,9.461953554217102,3.3643073224409497,5.842217551380362,0.524836733030283,0.14285714285714285,15
9.785480183806403,9.468473420340125,3.398909178030275,5.838960641776183,0.5476103487731591,0.1530612244897959,16
9.793163164240005,9.483241219394111,3.3883892902649295,5.839141510541757,0.5656323528519918,0.16326530612244897,17
9.798228133846608,9.48733900394677,3.3654991166935697,5.840643372073417,0.5920856394018358,0.17346938775510204,18
9.862785679162297,9.541699421356327,3.4088949689501002,5.841286730492623,0.6126039492660001,0.18367346938775508,19
9.89646700097795,9.567439410137222,3.423546332401962,5.841970289005945,0.6309503527296049,0.19387755102040816,20
